rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,sup_devices.num,lang.num,SizeCatg,PriceCatg
118,0,2,0.0,1,37,1,0,0
290996,150,2,3.5,1,37,2,0,0
2785,90,3,4.0,1,37,26,0,1
54408,65,2,2.0,5,37,8,2,1
8138,107,3,4.5,5,37,13,0,1
123190,68841,2,3.0,1,47,1,0,0
23810,582,2,4.0,5,45,1,0,1
54192,32,3,2.0,1,37,1,1,0
20953,481,3,4.0,1,37,1,1,0
71609,99,3,4.0,1,37,14,1,1
32881,7,2,2.0,1,37,1,0,0
23201,14,2,2.0,1,37,5,0,0
17906,4,2,3.0,1,37,1,1,0
927,3,2,2.5,1,37,21,1,3
18920,3014,2,4.5,5,47,1,0,1
30,0,2,0.0,1,37,3,1,1
77,1,2,4.0,1,37,3,1,0
104539,11,3,4.5,1,37,13,0,0
4016,1,3,5.0,1,37,1,0,1
299,28,3,4.5,1,38,1,0,1
5758,9,3,3.0,5,40,1,1,1
5565,140,3,4.5,5,37,17,0,0
213092,51,2,4.5,5,37,1,0,1
150158,3392,3,5.0,1,37,8,1,0
6046,446,3,4.0,5,47,1,0,1
345046,3040,3,4.5,1,37,36,0,0
35930,262,2,4.0,5,43,1,0,1
22557,526,3,4.0,5,47,1,0,1
292,1,2,5.0,1,37,1,0,1
878563,8253,3,4.5,1,37,18,1,0
22,0,2,0.0,1,37,30,0,0
10472,58,2,2.0,1,37,1,0,0
115,70,3,5.0,1,37,1,1,0
13915,205,3,5.0,1,37,8,1,1
6780,68,3,4.5,5,38,5,1,1
1701,35,3,4.5,1,37,21,0,1
6,0,2,0.0,1,37,8,0,1
19,0,2,0.0,1,37,1,0,0
3483,79,3,5.0,1,37,14,0,1
2838,26,2,2.5,1,37,12,0,0
117889,725,2,4.5,2,38,1,1,0
50710,309,2,4.0,5,45,1,1,1
3960,0,3,0.0,1,37,1,0,1
24258,305,2,2.5,2,37,1,0,0
37522,39,3,3.0,1,37,1,0,0
49578,16,2,3.0,1,37,20,1,0
626,44,3,5.0,2,38,2,0,1
9286,49,3,3.5,5,38,1,1,1
190670,19,2,2.5,1,37,45,1,0
2429,8,3,3.5,1,37,16,0,2
0,0,1,0.0,1,37,3,0,1
12811,134,2,1.5,1,37,22,1,0
32338,261,3,4.5,1,37,10,0,1
262,43,3,4.0,5,40,1,0,1
9657,47,3,4.5,5,38,12,1,1
18332,1007,3,5.0,5,37,2,0,1
53620,2872,3,5.0,1,38,15,0,0
38533,36,2,3.5,1,37,11,1,1
40,0,2,0.0,1,37,7,0,1
472,0,3,0.0,5,37,1,0,1
303856,7027,3,4.5,1,37,2,1,0
2070,0,2,0.0,1,37,1,0,0
7941,76,3,3.5,5,47,1,0,1
136833,64,2,4.5,1,37,6,1,0
112886,298,2,1.5,1,37,1,0,0
26353,3,2,2.5,1,37,2,1,0
171055,31,2,3.5,2,38,1,0,0
4540,140,3,4.5,5,43,15,0,1
1926,2,2,3.0,1,38,3,1,0
14345,100,3,2.5,1,37,1,0,1
1340,288,3,5.0,1,38,1,0,1
31912,154,3,5.0,1,37,9,1,1
354058,452,2,4.0,1,37,33,1,0
248,0,3,0.0,1,37,1,1,0
11691,44,2,4.5,1,37,1,0,0
381,6,2,2.0,2,38,1,0,1
18884,451,3,4.5,2,37,1,0,0
7410,82,3,4.5,1,37,1,0,1
15175,308,3,4.0,5,38,6,2,1
3166,34,3,4.5,1,37,5,0,1
88885,333,3,4.0,1,37,1,1,0
882,85,3,5.0,5,43,1,2,1
1729,599,3,4.5,1,37,3,0,1
43682,19,2,2.5,1,37,1,1,0
861,70,1,2.5,2,40,1,0,1
7469,68,2,5.0,1,37,2,0,0
4186,6,2,4.5,1,37,1,0,0
4885,0,2,0.0,2,38,2,1,0
3970,509,3,4.0,5,40,5,0,1
135744,594,3,4.5,1,37,7,1,0
18841,0,3,0.0,1,38,29,0,0
1438,171,3,4.0,1,37,10,0,1
10298,7,3,3.5,1,37,15,1,0
1842,23,2,2.5,1,38,1,0,1
2548,5,3,4.0,1,37,1,0,1
319,12,2,5.0,5,38,5,0,1
34507,38,2,5.0,1,37,1,0,0
26482,331,2,2.5,5,37,6,1,1
273,0,2,0.0,1,37,1,0,0
8331,24,3,3.5,1,37,15,1,1
17023,916,3,4.5,5,40,1,1,1
1101,8,3,4.0,5,38,1,0,1
1193,1,3,2.0,5,40,1,0,1
35,0,2,0.0,1,37,1,0,0
4088,436,3,4.5,5,47,1,0,1
63943,31264,3,4.0,5,47,1,0,1
70286,51,2,4.0,1,37,1,1,0
1150,0,2,0.0,1,37,19,0,0
54630,280,2,4.5,1,37,1,0,0
98777,233,2,4.0,2,37,12,0,0
649,11,3,4.0,1,37,1,0,1
60236,58,2,4.5,2,37,1,0,0
115,0,2,0.0,1,37,1,0,0
26732,1428,3,4.5,5,43,1,0,1
2722,1,3,5.0,1,37,1,0,1
11013,76,2,5.0,1,37,1,1,0
507706,181,3,4.5,1,37,19,1,0
397,0,3,0.0,1,37,16,1,0
196,3,3,5.0,1,38,2,0,1
24553,2620,3,4.5,1,38,26,0,1
12557,6,2,5.0,1,37,15,1,1
26227,7,3,4.5,1,37,14,0,0
28388,7009,3,5.0,1,38,9,0,1
282,1,3,5.0,1,38,1,0,1
19296,7,3,4.0,5,37,1,0,1
183425,4724,3,5.0,2,37,10,0,0
824451,107,3,3.0,5,38,10,1,0
512,6,2,5.0,1,38,2,0,0
315,0,2,0.0,1,37,31,0,1
268,0,2,0.0,1,37,6,1,0
438,295,3,4.5,5,45,1,0,1
187,0,2,0.0,1,37,3,1,0
15142,73,3,4.0,5,38,6,2,1
30552,18,2,2.5,1,37,1,0,0
9744,42,2,3.0,5,37,6,2,1
13482,2517,3,4.5,1,38,8,0,0
17516,125,2,5.0,1,37,1,0,0
186653,226,2,3.5,5,43,1,0,0
10031,142,3,5.0,2,43,1,0,1
81,0,2,0.0,2,37,1,0,0
9854,823,3,4.0,5,47,1,0,1
1093,106,3,4.5,1,38,1,0,1
4475,95,3,4.5,1,37,2,1,1
9405,1089,3,4.5,5,37,1,0,1
2417,1366,3,4.5,1,38,1,1,1
2923,300,3,4.5,1,37,7,1,1
8657,1468,2,4.0,2,38,1,0,1
70,1,1,1.0,1,37,5,0,1
162,32,3,5.0,1,37,2,1,0
5,0,3,0.0,1,40,2,0,1
12354,1428,3,4.5,5,47,1,0,1
269,0,2,0.0,1,37,1,0,0
0,0,1,0.0,1,37,1,0,1
426463,680,3,4.0,5,38,5,1,1
7265,11,2,4.0,1,37,2,1,0
844,1,3,1.0,1,37,2,1,0
101,1,3,5.0,2,37,1,1,0
34428,23,3,4.0,1,37,30,1,0
36946,152,3,4.0,5,38,3,0,1
21090,1325,3,5.0,1,37,1,0,0
653,8,3,4.5,5,37,31,0,1
1118,29,3,5.0,1,37,29,1,1
348,33,3,4.0,1,40,1,0,1
207,50,2,3.0,1,40,34,0,1
5000,23,3,4.5,1,37,10,0,0
15188,272,3,4.0,1,37,2,0,1
18572,307,3,4.5,1,37,1,1,0
6403,491,3,4.5,5,43,1,0,1
417779,914,3,4.5,1,37,10,1,0
9,1,3,5.0,1,38,5,0,1
107,0,2,0.0,2,37,1,0,1
72,72,1,2.0,1,47,1,0,1
2044,10,2,3.0,5,37,1,0,1
16683,21,2,2.5,1,37,2,0,0
1455,1450,2,3.0,5,47,1,0,1
15056,751,3,4.0,5,40,3,2,1
249,5,3,4.5,1,37,1,0,1
6091,75,3,3.5,5,38,8,1,1
2754,55,3,2.5,5,38,6,1,1
9870,12,3,4.5,5,40,1,2,1
82602,13,3,4.5,1,37,23,0,0
0,0,1,0.0,1,40,1,1,1
762,5,3,5.0,1,37,1,0,1
160,2,3,3.0,1,37,1,1,1
9,0,2,0.0,1,37,1,1,0
260965,228,3,3.0,1,37,14,1,0
2305,100,3,5.0,1,37,4,0,1
137,21,3,5.0,1,37,10,0,1
11999,233,3,4.5,2,37,1,0,0
1995,148,3,4.5,1,38,14,0,1
35045,250,3,4.5,1,37,6,1,1
343,15,3,4.5,2,38,30,0,1
1824,113,3,4.0,2,24,22,1,1
39642,492,3,4.0,1,37,1,0,0
679055,9673,3,4.5,5,38,11,1,0
17594,143,3,4.0,1,37,14,1,1
3531,177,3,4.5,5,38,1,1,1
1080,5,2,2.5,1,37,1,1,1
11421,57,3,2.5,1,37,1,1,0
698516,132,3,4.0,5,38,13,1,1
4497,448,3,4.0,2,24,1,0,1
163598,503,3,4.0,5,24,5,1,1
39678,114,2,3.5,5,24,6,1,1
1809,52,3,3.5,1,24,1,0,1
624,20,2,3.5,1,37,1,0,1
3761,596,3,4.5,1,40,1,0,1
353,8,3,3.5,1,24,1,0,1
6503,60,3,5.0,1,24,12,1,1
71,3,2,4.5,5,37,4,0,1
308844,139,2,3.0,2,37,20,1,0
3909,36,3,5.0,1,24,14,0,1
308,0,3,0.0,1,40,7,0,1
11156,8,3,2.5,1,24,1,0,1
8542,543,3,5.0,1,26,1,0,1
5853,3860,2,4.0,5,26,1,0,1
1506,198,3,4.5,5,26,6,1,1
1649,1,2,5.0,1,37,3,1,0
78890,449,2,3.5,2,37,1,0,0
2147,23,3,5.0,5,24,1,1,1
89110,114,3,4.0,5,24,10,1,0
208648,25664,3,4.5,1,24,1,0,0
856,38,2,3.5,2,26,1,0,1
7825,828,3,4.5,1,43,1,0,1
7033,119,3,4.5,1,37,11,0,1
4255,209,3,2.0,1,38,1,0,1
3230,5,3,4.0,1,37,7,0,1
54175,10176,3,4.5,1,24,9,1,0
308,8,3,4.5,1,24,1,0,1
2602,71,2,4.5,5,37,1,0,1
29110,324,3,4.5,1,37,9,1,0
273,8,2,4.5,1,26,1,0,1
15654,24,3,4.5,1,37,2,0,0
189,0,2,0.0,2,37,9,0,0
829,16,3,4.5,1,24,7,0,1
663,5,3,4.0,1,37,1,0,1
359832,17119,3,5.0,5,40,7,0,0
9011,49,2,4.0,2,37,6,1,0
17667,14,3,4.0,1,37,15,1,1
65450,2721,3,4.5,1,37,18,0,0
31261,374,3,4.5,1,37,40,1,0
9885,10,3,4.0,5,40,1,0,1
11091,415,2,4.5,2,37,6,1,0
132703,394,3,3.0,1,37,1,0,0
286,25,2,5.0,1,24,1,0,1
12683,108,3,4.0,1,38,29,0,0
49466,150,2,2.0,1,37,41,1,0
168,0,3,0.0,1,37,2,1,0
114,0,3,0.0,1,24,3,0,1
2798,357,3,4.5,1,24,1,0,1
62,0,2,0.0,2,37,1,0,0
1756,53,3,5.0,1,37,5,0,1
511,57,3,4.5,1,37,1,0,1
2609,9,2,4.5,5,40,1,1,1
354,215,1,1.0,1,43,1,0,0
1750,19,2,5.0,1,38,1,1,0
1121,209,3,4.5,5,43,1,0,1
339,7,3,4.5,1,38,1,0,0
34322,3167,3,4.5,1,24,1,0,0
162,17,3,4.5,1,38,3,0,1
8,1,2,1.0,1,37,1,0,0
4386,444,3,4.5,1,43,1,0,1
5397,476,3,5.0,5,40,7,0,1
75412,66,3,4.5,1,37,18,1,0
97072,143,3,3.5,1,37,18,1,0
9142,22,2,4.0,1,26,1,0,0
1957,958,3,4.5,5,40,1,0,1
2944,40,3,4.5,2,24,29,1,1
588,54,3,4.0,1,37,14,0,1
40552,238,3,4.5,5,40,1,0,1
1267,0,3,0.0,1,38,3,0,1
753,12,3,4.5,1,37,1,0,2
725,26,3,4.5,1,24,13,0,1
45,12,3,4.5,1,38,1,0,1
14910,1003,3,4.5,5,45,1,1,1
3064,1428,2,3.5,5,47,1,0,1
12074,43,2,1.5,1,24,1,0,0
336,2,3,3.0,1,37,1,0,1
6257,15,3,4.0,1,37,11,1,1
2445,41,3,5.0,1,24,1,0,1
22150,1141,3,4.5,5,43,1,0,1
23530,7,3,2.5,1,37,25,0,0
10846,91,3,4.5,5,38,2,2,1
55171,187,2,3.5,1,37,21,0,0
5782,149,2,3.5,1,37,22,0,0
24,2,2,5.0,1,37,3,1,0
17,0,2,0.0,1,37,1,1,0
35759,64,3,4.0,5,40,13,1,1
18306,186,3,4.5,5,37,4,2,1
13567,2625,1,1.5,1,40,14,0,0
240,2,2,4.5,1,37,1,0,1
56170,1264,1,2.0,2,37,2,0,0
19,0,3,0.0,1,24,2,0,1
0,0,1,0.0,1,39,1,0,0
10463,193,3,3.5,1,38,3,0,1
1255,432,3,4.5,1,38,1,0,0
5803,10,3,4.0,5,37,1,0,1
227,225,3,4.0,5,26,1,0,1
342,2,2,4.0,1,37,5,1,1
7578,67,3,5.0,1,37,1,0,1
1156,951,2,3.5,5,26,1,0,1
7197,0,2,0.0,1,37,4,1,0
5,0,2,0.0,2,37,3,0,1
3432,0,2,0.0,5,38,10,2,1
0,0,1,0.0,1,37,1,0,1
24306,6,3,5.0,5,24,9,0,1
312,0,2,0.0,1,37,1,1,0
105274,1774,3,4.5,1,37,5,0,0
25475,71,3,4.0,1,37,11,1,1
8718,381,3,4.5,5,43,1,0,1
29492,51,2,4.0,2,24,13,0,0
12787,12,3,4.5,2,38,1,1,1
2237,41,3,3.5,1,24,2,0,1
108,74,3,4.5,1,40,1,0,1
25403,1598,3,4.5,1,37,9,1,0
210,4,2,4.5,1,37,1,0,0
169,16,3,4.5,1,37,5,1,0
7447,18,3,4.5,1,37,29,0,1
12833,282,3,4.5,1,40,1,1,1
130450,1010,3,4.5,1,40,22,0,0
6,0,3,0.0,5,38,1,1,1
1111,0,1,0.0,1,37,12,0,0
3194,18,3,4.5,1,37,13,1,0
1399,24,2,2.5,1,43,7,0,1
10,0,3,0.0,1,37,1,0,1
1990,0,3,0.0,1,38,1,1,0
8149,173,3,4.5,1,37,1,1,0
29376,11,3,5.0,1,24,11,0,1
74,3,3,5.0,1,37,1,0,0
164249,206,3,4.5,1,37,32,1,0
14605,23,3,5.0,5,37,9,0,1
130823,29363,3,5.0,1,37,2,0,0
486,25,3,4.0,2,37,9,0,1
8946,1776,3,4.5,1,43,1,0,1
1993,36,3,4.0,5,40,7,0,1
